,path
0,0
1,92
2,43
3,90
4,25
5,34
6,91
7,47
8,4
9,5
10,37
11,35
12,50
13,13
14,86
15,55
16,14
17,94
18,87
19,24
20,49
21,81
22,3
23,52
24,76
25,65
26,22
27,96
28,9
29,10
30,63
31,17
32,99
33,78
34,45
35,60
36,36
37,19
38,85
39,69
40,67
41,42
42,44
43,54
44,41
45,61
46,31
47,88
48,98
49,28
50,75
51,57
52,38
53,51
54,6
55,32
56,64
57,93
58,73
59,11
60,95
61,30
62,16
63,72
64,48
65,84
66,58
67,29
68,15
69,62
70,82
71,20
72,39
73,68
74,46
75,2
76,89
77,23
78,71
79,83
80,97
81,27
82,77
83,26
84,18
85,33
86,79
87,80
88,74
89,21
90,56
91,12
92,70
93,40
94,59
95,53
96,8
97,7
98,1
99,66
100,0
101,0
