,path
0,0
1,8
2,22
3,39
4,18
5,12
6,36
7,38
8,15
9,40
10,41
11,53
12,45
13,42
14,30
15,86
16,46
17,52
18,61
19,37
20,92
21,48
22,47
23,49
24,50
25,32
26,31
27,9
28,43
29,90
30,21
31,51
32,56
33,3
34,25
35,33
36,65
37,27
38,54
39,17
40,2
41,89
42,71
43,28
44,44
45,24
46,7
47,35
48,29
49,73
50,55
51,34
52,14
53,10
54,6
55,80
56,4
57,93
58,66
59,23
60,83
61,84
62,97
63,26
64,1
65,57
66,59
67,58
68,91
69,67
70,77
71,85
72,60
73,68
74,70
75,5
76,76
77,63
78,94
79,19
80,81
81,11
82,13
83,64
84,82
85,87
86,62
87,69
88,95
89,98
90,74
91,16
92,72
93,75
94,78
95,96
96,20
97,88
98,79
99,99
100,0
101,0
