,path
0,0
1,86
2,55
3,14
4,64
5,99
6,13
7,61
8,87
9,36
10,60
11,41
12,68
13,92
14,96
15,24
16,35
17,7
18,81
19,45
20,42
21,19
22,37
23,5
24,67
25,38
26,76
27,44
28,78
29,1
30,94
31,26
32,63
33,59
34,47
35,98
36,31
37,50
38,90
39,51
40,9
41,91
42,28
43,93
44,6
45,34
46,46
47,80
48,73
49,10
50,52
51,4
52,22
53,8
54,12
55,18
56,88
57,48
58,40
59,58
60,69
61,95
62,43
63,97
64,49
65,25
66,3
67,84
68,65
69,17
70,66
71,85
72,89
73,54
74,56
75,32
76,16
77,72
78,75
79,11
80,79
81,30
82,82
83,29
84,39
85,62
86,70
87,53
88,57
89,15
90,20
91,71
92,2
93,23
94,83
95,27
96,77
97,33
98,74
99,21
100,0
101,0
